% f evaluations | g evaluations | best noise-free fitness - Fopt (7.627000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.921057165e+06 +1.921070825e+06 +1.921070825e+06 -4.2543e+00 -4.7751e-01 -1.7104e+00 +1.6908e+00 +3.9585e+00 -3.9157e+00 -2.3936e+00 -9.1584e-01 +3.8299e+00 -2.4030e+00 +1.7805e+00 -2.0267e+00 -2.5735e+00 -1.2122e+00 -1.6794e+00 +3.1325e-01 -2.1011e+00 +1.9866e-01 +6.4150e-01 +1.1213e-01
4 0 +4.727443364e+05 +4.727579964e+05 +4.727579964e+05 -1.3027e-01 -3.1411e+00 +2.2135e+00 -3.5659e+00 +1.6347e+00 -1.3079e-01 -3.7460e+00 +9.8667e-01 +2.1614e-01 +1.0995e+00 -7.5833e-02 +1.4852e-01 -1.7876e+00 -1.3280e+00 +2.4991e+00 +2.3400e+00 +1.3558e+00 -9.9558e-01 +1.5193e-01 +2.6394e+00
5 0 +2.047746637e+05 +2.047883237e+05 +2.047883237e+05 +1.1678e+00 -1.1356e+00 -4.1547e-01 -2.9486e+00 -2.4174e+00 -1.8818e+00 -1.7129e+00 -1.6616e+00 +1.0132e+00 -2.2479e+00 -2.4292e-01 +2.1484e+00 -3.6460e+00 +2.0095e+00 -1.8455e-01 +1.1537e+00 -6.6257e-01 -2.2260e+00 +1.3643e-01 -1.6369e+00
10 0 +1.390725736e+05 +1.390862336e+05 +1.390862336e+05 -4.6360e-02 -3.9005e+00 +2.3832e+00 +4.8984e+00 +2.4372e+00 +1.8148e+00 +1.6999e+00 -1.9314e+00 +2.4850e+00 -1.1601e+00 +3.2738e+00 -1.3274e+00 -2.9300e+00 +2.9540e+00 +4.8254e+00 +3.5858e+00 -1.6027e+00 +3.2428e-01 +3.9976e+00 +2.1782e+00
13 0 +3.760499580e+04 +3.761865580e+04 +3.761865580e+04 +4.6940e+00 +3.8594e+00 +3.0452e+00 +4.3673e+00 +1.8477e+00 +2.1979e-01 -4.9194e+00 +1.8648e+00 +4.4933e+00 -3.1000e+00 +5.0000e+00 +2.8492e+00 -7.0820e-01 +1.2012e+00 +3.2019e+00 +4.9399e+00 -4.5711e+00 -1.5652e+00 -2.3365e+00 -1.1931e+00
52 0 +1.161100514e+04 +1.162466514e+04 +1.162466514e+04 +6.7064e-01 -2.7455e+00 -4.5010e-01 +6.6900e-01 +1.6837e+00 -1.5724e+00 +1.8549e+00 -1.0231e+00 +3.8899e+00 +1.3931e+00 +2.6799e+00 +1.2391e+00 -3.2472e+00 -2.0502e+00 -2.9701e+00 -3.5709e+00 -7.6880e-01 +2.8761e+00 +1.0909e-01 +2.3798e+00
406 0 +2.514745989e+03 +2.528405989e+03 +2.528405989e+03 -2.4554e+00 +5.1527e-01 -3.3833e-01 +4.2075e-01 +9.1136e-01 -2.3059e+00 -9.7316e-01 -8.8865e-01 +1.6324e+00 -9.2986e-01 +1.1378e+00 -6.0333e-01 -2.0240e+00 -5.3816e-01 -2.1711e+00 +4.5743e-01 -1.1843e+00 -1.0170e+00 +5.0486e-01 -1.4250e-01
508 0 +1.315449523e+03 +1.329109523e+03 +1.329109523e+03 -2.4671e+00 +4.3365e-01 -3.8680e-01 +4.7975e-01 +1.2843e+00 -2.3358e+00 -9.6980e-01 -8.8677e-01 +1.7194e+00 -1.0415e+00 +1.2184e+00 -7.2802e-01 -2.1001e+00 -6.7829e-01 -2.1040e+00 +4.8292e-01 -1.2162e+00 -9.1465e-01 +4.7549e-01 +1.8515e-02
514 0 +9.022523567e+02 +9.159123567e+02 +9.159123567e+02 -2.1342e+00 +7.1174e-01 -1.9569e-01 +4.8105e-01 +1.0485e+00 -1.6518e+00 -7.5263e-01 -5.8097e-01 +1.3387e+00 -6.3294e-01 +1.3789e+00 -7.6172e-01 -1.8880e+00 -6.4410e-01 -1.8226e+00 +2.8436e-01 -9.7077e-01 -1.0281e+00 +4.6473e-01 +1.3653e-01
760 0 +6.726336607e+02 +6.862936607e+02 +6.862936607e+02 -1.3375e+00 +1.4776e+00 +1.3174e+00 +1.8779e-02 +4.7530e-02 -1.0776e+00 +1.9045e-01 -5.9299e-01 +3.9858e-01 +1.3614e-01 +1.2111e+00 -4.6927e-01 -1.5492e+00 -5.4161e-01 -8.1586e-01 +5.6959e-01 -6.7475e-01 -1.9861e+00 +3.7791e-01 +2.0365e-01
