% f evaluations | g evaluations | best noise-free fitness - Fopt (3.590000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
34 0 +3.268337349e+05 +3.269656549e+05 +3.269656549e+05 -2.6113e+00 +2.8340e+00 -2.7557e+00 -3.4900e+00 -3.8917e+00 +4.5271e-01 -1.8152e-01 +4.0167e-01 +2.6588e+00 +2.9840e+00
111 0 +3.169881640e+05 +3.171200840e+05 +3.171200840e+05 -2.6113e+00 +2.8340e+00 -2.7557e+00 -3.4900e+00 -3.8917e+00 +4.5271e-01 -1.8152e-01 +4.0167e-01 +1.9671e+00 +2.9840e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (5.908400000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.468047649e+05 +1.473956049e+05 +1.473956049e+05 -3.6865e+00 +8.0725e-01 -2.2296e+00 -1.5272e+00 +4.0166e+00 +1.0248e+00 +1.5980e-01 +1.3971e+00 -2.4178e-01 -1.7969e+00
2 0 +1.402443918e+05 +1.408352318e+05 +1.408352318e+05 +5.5120e-01 +9.9668e-01 +1.9933e+00 +4.1503e+00 +1.5544e+00 +1.9984e+00 +1.8196e+00 -6.7864e-01 -1.3378e+00 -1.9911e+00
3 0 +1.075804522e+05 +1.081712922e+05 +1.081712922e+05 +3.1703e+00 +3.2766e+00 +1.1501e+00 +3.2805e+00 +9.0646e-01 -1.8256e+00 -7.8317e-01 -1.5088e+00 +5.4588e-01 -1.5082e+00
4 0 +1.787150599e+04 +1.846234599e+04 +1.846234599e+04 -1.0616e+00 +2.4898e+00 +1.5488e+00 -2.7924e+00 +2.4125e+00 -2.1573e+00 +3.4423e+00 +2.7249e+00 -3.1977e+00 +3.8261e+00
9 0 +3.145392890e+02 +9.053792890e+02 +9.053792890e+02 -3.7758e+00 +2.0274e+00 -1.9701e+00 +1.4407e+00 +1.3975e-01 -3.1793e+00 +4.1002e+00 +1.0692e+00 +3.1556e+00 -1.0077e-01
58 0 +2.946924029e+02 +8.855324029e+02 +8.855324029e+02 -3.6841e+00 +1.1602e+00 -3.4954e-01 +2.1770e+00 +1.8064e+00 -2.8145e+00 +3.8813e+00 -2.4230e-01 +2.7760e+00 -2.1819e-01
207 0 +2.153362675e+02 +8.061762675e+02 +8.061762675e+02 -3.3552e+00 +3.3813e+00 -1.7873e+00 +7.6610e-02 -7.3424e-01 -9.2160e-01 +2.7609e+00 +3.6516e-01 +2.8151e+00 -1.7171e-01
