% f evaluations | g evaluations | best noise-free fitness - Fopt (6.870000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt (5.859500000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.782639897e+01 +6.037763990e+02 +6.037763990e+02
2 0 +1.120731256e+01 +5.971573126e+02 +5.971573126e+02
4 0 +1.029843404e+01 +5.962484340e+02 +5.962484340e+02
10 0 +5.926469045e+00 +5.918764690e+02 +5.918764690e+02
2114 0 +5.786801689e+00 +5.917368017e+02 +5.917368017e+02
3159 0 +4.845108483e+00 +5.907951085e+02 +5.907951085e+02
3255 0 +4.711282664e+00 +5.906612827e+02 +5.906612827e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (2.871600000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.553504618e+01 +3.026950462e+02 +3.026950462e+02
3 0 +1.473344563e+01 +3.018934456e+02 +3.018934456e+02
5 0 +1.179305587e+01 +2.989530559e+02 +2.989530559e+02
6 0 +8.637754622e+00 +2.957977546e+02 +2.957977546e+02
203 0 +7.448130285e+00 +2.946081303e+02 +2.946081303e+02
205 0 +6.833578683e+00 +2.939935787e+02 +2.939935787e+02
309 0 +6.095894209e+00 +2.932558942e+02 +2.932558942e+02
1557 0 +5.719141745e+00 +2.928791417e+02 +2.928791417e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.943800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.505636012e+01 -3.793236399e+02 -3.793236399e+02
4 0 +1.493703994e+01 -3.794429601e+02 -3.794429601e+02
5 0 +1.407241968e+01 -3.803075803e+02 -3.803075803e+02
6 0 +1.051243413e+01 -3.838675659e+02 -3.838675659e+02
24 0 +9.095303443e+00 -3.852846966e+02 -3.852846966e+02
52 0 +6.864123203e+00 -3.875158768e+02 -3.875158768e+02
811 0 +6.276787879e+00 -3.881032121e+02 -3.881032121e+02
2804 0 +5.453303789e+00 -3.889266962e+02 -3.889266962e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (5.443000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.460154144e+01 +6.903154144e+01 +6.903154144e+01
2 0 +9.770072891e+00 +6.420007289e+01 +6.420007289e+01
4 0 +8.564018917e+00 +6.299401892e+01 +6.299401892e+01
104 0 +8.255406041e+00 +6.268540604e+01 +6.268540604e+01
211 0 +7.141209750e+00 +6.157120975e+01 +6.157120975e+01
552 0 +6.891724186e+00 +6.132172419e+01 +6.132172419e+01
553 0 +6.201056281e+00 +6.063105628e+01 +6.063105628e+01
3559 0 +5.719507923e+00 +6.014950792e+01 +6.014950792e+01
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.396900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.953818038e+01 +1.592281804e+02 +1.592281804e+02
2 0 +1.753372004e+01 +1.572237200e+02 +1.572237200e+02
4 0 +1.221530215e+01 +1.519053021e+02 +1.519053021e+02
12 0 +6.973325408e+00 +1.466633254e+02 +1.466633254e+02
1010 0 +5.639704303e+00 +1.453297043e+02 +1.453297043e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.794000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.468914413e+01 -4.325085587e+01 -4.325085587e+01
5 0 +1.116292347e+01 -4.677707653e+01 -4.677707653e+01
16 0 +1.090317198e+01 -4.703682802e+01 -4.703682802e+01
22 0 +8.375629040e+00 -4.956437096e+01 -4.956437096e+01
212 0 +6.723189065e+00 -5.121681094e+01 -5.121681094e+01
408 0 +5.993263590e+00 -5.194673641e+01 -5.194673641e+01
958 0 +5.887004064e+00 -5.205299594e+01 -5.205299594e+01
