% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.694000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
17 0 +1.377299785e+00 -3.087270021e+01 -3.087270021e+01 +3.8132e+00 +9.5887e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.681200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.300120654e+01 +3.811212065e+02 +3.811212065e+02 +4.2229e-01 -3.5012e-01
2 0 +5.483185675e+00 +3.736031857e+02 +3.736031857e+02 -1.4317e-01 +9.1802e-02
14 0 +4.239142587e+00 +3.723591426e+02 +3.723591426e+02 -1.0611e+00 +1.3847e-01
52 0 +2.481520708e+00 +3.706015207e+02 +3.706015207e+02 -1.6357e-01 -7.2879e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (4.739000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.242697603e+01 +6.981697603e+01 +6.981697603e+01 +2.3216e-01 -7.0485e-01
2 0 +5.747313703e+00 +5.313731370e+01 +5.313731370e+01 +8.6920e-01 +1.8672e+00
7 0 +4.617706533e+00 +5.200770653e+01 +5.200770653e+01 +4.3684e-01 +2.7300e+00
9 0 +1.236978581e+00 +4.862697858e+01 +4.862697858e+01 -5.3870e-01 +2.9543e+00
111 0 +7.563891524e-01 +4.814638915e+01 +4.814638915e+01 -1.2620e-01 +2.9543e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.428900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.023021404e+01 -3.126597860e+02 -3.126597860e+02 +1.2706e-01 -8.8864e-02
2 0 +2.496285476e+01 -3.179271452e+02 -3.179271452e+02 -1.0776e+00 -8.3447e-01
3 0 +1.468231525e+01 -3.282076847e+02 -3.282076847e+02 -1.3255e+00 -1.7463e+00
5 0 +1.312253224e+01 -3.297674678e+02 -3.297674678e+02 +2.9489e+00 +7.7892e-01
7 0 +9.671220485e+00 -3.332187795e+02 -3.332187795e+02 -4.0994e-01 -1.3494e+00
10 0 +4.001251912e+00 -3.388887481e+02 -3.388887481e+02 +8.5377e-01 -2.6601e+00
